"pH","°C","°Brix","Type"
"2.78","21.5","15.8","BOR"
"2.92","21.6","13.2","BOR"
"2.83","21.6","15.2","BOR"
"2.72","21.7","14","BOR"
"2.65","21.4","14.2","BOR"
"2.78","21.5","16.2","BOR"
"2.9","21.6","15.8","BOR"
"2.65","21.5","14.8","BOR"
"2.48","23.2","16","BOR"
"2.63","22","13.6","BOR"
"2.76","21.7","14","BOR"
"2.92","21.9","18.2","BOR"
"2.8","21.6","16.2","BOR"
"2.59","21.6","15.2","BOR"
"2.68","21.5","16","BOR"
"2.7","21.5","16.2","BOR"
"2.83","21.6","16","BOR"
"2.94","21.8","18","BOR"
"2.81","21.9","15.2","BOR"
"2.71","21.9","16.2","BOR"
"2.57","21.7","15.4","BOR"
"2.59","22.1","15.8","BOR"
"2.87","22.0","17.6","BOR"
